iter	Accuracy	Logloss
0	0.7261358041	0.683995878
1	0.7298217457	0.6753430601
2	0.7294556225	0.6671089823
3	0.7313785435	0.6594999784
4	0.7298764503	0.6520579997
5	0.729849098	0.6449738686
6	0.7299666776	0.6384590925
7	0.730010576	0.6323099492
8	0.7300138852	0.6293156835
9	0.7299450651	0.6236391032
10	0.7299417559	0.6206569974
11	0.7298870513	0.6153724539
12	0.7298870513	0.6106726497
13	0.7298870513	0.6063088417
14	0.7299177128	0.6019707922
15	0.7299591806	0.5996547791
16	0.729859699	0.5977456398
17	0.7298804329	0.5956560546
18	0.7298257283	0.5936750317
19	0.7298257283	0.5898252467
20	0.7298530806	0.5880027529
21	0.7310704342	0.5854077216
22	0.7313865087	0.5839331706
23	0.731283718	0.5810291723
24	0.7313765811	0.5794688429
25	0.7313318041	0.5778012658
26	0.7313865087	0.5748165758
27	0.7312038865	0.5719832597
28	0.7313865087	0.5694680856
29	0.7314312857	0.5681441403
30	0.7314006242	0.56681604
31	0.7314553288	0.5654723593
32	0.7314793719	0.5643003495
33	0.7314520196	0.5621582016
34	0.7315034149	0.560956321
35	0.7314793719	0.5596783658
36	0.7315340765	0.5584157168
37	0.7315340765	0.5567758808
38	0.7314520196	0.5546373149
39	0.7315581195	0.5530469578
40	0.7317089965	0.5521022963
41	0.7316750258	0.5507026797
42	0.7319046504	0.5486236973
43	0.7318466366	0.547332406
44	0.7319800888	0.54641997
45	0.7326497808	0.5453567078
46	0.7332506527	0.5435283626
47	0.733612851	0.542637755
48	0.7340123292	0.5414197497
49	0.734968781	0.5404577794
50	0.7353499559	0.5393868964
51	0.7357168102	0.5385814372
52	0.7357671218	0.5374791927
53	0.7366417219	0.5365637424
54	0.7375092931	0.5355004347
55	0.7382958913	0.5348352294
56	0.7389415402	0.533344147
57	0.73935405	0.5324011444
58	0.7402200693	0.531711267
59	0.7411707812	0.5310862712
60	0.7412393961	0.5302011821
61	0.741725119	0.5296287671
62	0.742064358	0.5290597182
63	0.7427622809	0.5277297756
64	0.7434211666	0.5264538507
65	0.7436183725	0.5252782244
66	0.7436688893	0.5248780694
67	0.7445706365	0.5242842235
68	0.7470160601	0.5235099217
69	0.747854727	0.5227813955
70	0.7477923202	0.5223601021
71	0.7480336296	0.5218303745
72	0.748259945	0.5207862649
73	0.7487059574	0.5202566696
74	0.7492033652	0.5196353369
75	0.7493467451	0.5191544427
76	0.7496591	0.5184121329
77	0.7497261628	0.5179841939
78	0.7500826213	0.5175771924
79	0.7499780733	0.516980933
80	0.750012044	0.5163616928
81	0.7498494823	0.5160148923
82	0.7504728453	0.5155504822
83	0.7509137912	0.5151104316
84	0.7509949695	0.5148758696
85	0.7512444494	0.5145060183
86	0.7511167369	0.5140303528
87	0.7514374675	0.5134846107
88	0.7515129059	0.5130503868
89	0.7516836381	0.5124790673
90	0.7518095934	0.5120991921
91	0.751864298	0.5117496251
92	0.7519977502	0.5116035242
93	0.7523151716	0.511157554
94	0.7523506943	0.5107137686
95	0.7524102601	0.5098917177
96	0.7527468633	0.5095515229
97	0.752886934	0.5093144668
98	0.7529614938	0.5090009502
99	0.7529963432	0.5086757558
100	0.7530519264	0.5083901097
101	0.7531911185	0.5076508469
102	0.7532566293	0.5072992952
103	0.7534240523	0.5072011001
104	0.7536759628	0.5064438438
105	0.753801918	0.5060703593
106	0.7538583798	0.505797206
107	0.7539419887	0.5053804847
108	0.7539816992	0.5050532657
109	0.7542221301	0.5046936353
110	0.7541343334	0.5040933172
111	0.7540240456	0.5038188832
112	0.7541184607	0.5034596345
113	0.7541764745	0.5031255144
114	0.7544400699	0.5029314536
115	0.7544599251	0.5025685615
116	0.7543454495	0.5022454932
117	0.7545294186	0.5018915778
118	0.7546222817	0.5015539951
119	0.7546214031	0.5009609871
120	0.7548029415	0.5006436096
121	0.7549910984	0.5003729411
122	0.7551104352	0.500207903
123	0.7552935257	0.4999640991
124	0.7553308056	0.4997290088
125	0.7550788951	0.4994730068
126	0.7552595549	0.4992030341
127	0.7557227868	0.4990049997
128	0.755901016	0.4987735766
129	0.756174539	0.4985643939
130	0.7560585114	0.4984195039
131	0.7564910817	0.4981007333
132	0.7565954244	0.497839901
133	0.7565987336	0.4976317348
134	0.7568539533	0.4973163312
135	0.7568563839	0.4967844361
136	0.7571365253	0.4964400787
137	0.757276596	0.4959375457
138	0.7572417467	0.4955733543
139	0.7573271128	0.4952319824
140	0.7573403496	0.4951223124
141	0.7573021911	0.4949060288
142	0.7573875572	0.4947662233
143	0.757490348	0.4946374377
144	0.7576370371	0.494441522
145	0.7577007907	0.4942000234
146	0.757789466	0.493995791
147	0.7578715229	0.4938692786
148	0.7581549735	0.4936818709
149	0.7583281363	0.4934746992
150	0.7583248271	0.4930540163
151	0.7584126238	0.4928775666
152	0.7586098297	0.4926133945
153	0.7590441572	0.4924437752
154	0.7592032046	0.4921542345
155	0.7594659213	0.4919547894
156	0.7593805552	0.4918028504
157	0.7595314322	0.4916897843
158	0.7594800368	0.4914818001
159	0.7594559937	0.4913093362
160	0.7595687121	0.4910473063
161	0.7594899644	0.490726456
162	0.759499892	0.490595749
163	0.759605992	0.490343281
164	0.7597493719	0.4900464296
165	0.7599615719	0.4898746601
166	0.7599648811	0.4897554933
167	0.7598753272	0.4896001296
168	0.7598579025	0.4894652457
169	0.7600701025	0.4892878857
170	0.7600253255	0.4889910171
171	0.7602615685	0.4888732141
172	0.7601040732	0.4887210554
173	0.7601380439	0.4886374611
174	0.7601446623	0.4884538437
175	0.7603709777	0.4883169877
176	0.7604978116	0.4882031849
177	0.760671853	0.4880239355
178	0.7607298668	0.4878785767
179	0.7607232484	0.4877605901
180	0.7608981684	0.4876416991
181	0.7610622822	0.4875108964
182	0.7610995621	0.4873688398
183	0.7611542667	0.4872117568
184	0.7611542667	0.4870911564
185	0.7610481667	0.4869765465
186	0.7611542667	0.4867058385
187	0.761075519	0.4865224396
188	0.7611344114	0.4863055677
189	0.7612305838	0.486196251
190	0.7613880791	0.4860834528
191	0.7613532298	0.4859721555
192	0.7613018344	0.4858500477
193	0.7612164683	0.4857769667
194	0.7613093315	0.4856668649
195	0.7614800637	0.4855687657
196	0.7616102067	0.485429394
197	0.7616724083	0.4853217752
198	0.7617096883	0.484954354
199	0.7616856452	0.4847136688
200	0.7615795452	0.4845855473
201	0.7617983636	0.4844755479
202	0.7618804205	0.4843907537
203	0.7620346066	0.4843071097
204	0.7620478435	0.4841389335
205	0.7619931389	0.4841011196
206	0.7621879142	0.4839272993
207	0.7623246757	0.4838428926
208	0.7623213664	0.4837492364
209	0.7623619556	0.483638236
210	0.7623445309	0.4835292866
211	0.7624440125	0.4834294244
212	0.7623893079	0.4833394642
213	0.7624199694	0.4832433471
214	0.7624473217	0.483114718
215	0.7626670187	0.4827833835
216	0.7626604002	0.482714514
217	0.7626976802	0.4825530342
218	0.7628419387	0.4824670083
219	0.7626976802	0.482377232
220	0.7627523848	0.4822756371
221	0.7627830463	0.4821997302
222	0.7628004709	0.482107189
223	0.7628070894	0.482031912
224	0.7627184141	0.4819107453
225	0.7628717216	0.4817012836
226	0.7629198078	0.4815696737
227	0.7630400232	0.4814953281
228	0.7631187709	0.4813349455
229	0.7633102369	0.4812025879
230	0.7632107554	0.4809158809
231	0.7635398616	0.4807990214
232	0.7634196461	0.4806836788
233	0.7635125093	0.4803806624
234	0.7635605954	0.4803318608
235	0.7636327247	0.4802637876
236	0.7637222786	0.4801721753
237	0.7636642648	0.4801184986
238	0.7637637464	0.4799783398
239	0.7639560911	0.4798801423
240	0.7639867526	0.4797305758
241	0.7640862341	0.4795796455
242	0.7641343203	0.4795184499
243	0.7639867526	0.4792480167
244	0.7641442479	0.4791875794
245	0.7641093986	0.4791019001
246	0.7641674124	0.4789714516
247	0.764047197	0.4788445094
248	0.7640264631	0.4787979707
249	0.7641433693	0.4787464107
250	0.7641674124	0.4787288866
251	0.764222117	0.4786564692
252	0.7643315262	0.4785976642
253	0.7642768216	0.4784240376
254	0.7642975555	0.4783378235
255	0.7645677692	0.4782273732
256	0.7645503446	0.4781761709
257	0.7646465169	0.478093108
258	0.7647111491	0.4779762977
259	0.7649233491	0.4778880494
260	0.7649954783	0.4777669552
261	0.7649855507	0.477651201
262	0.7648554076	0.477566394
263	0.7650095938	0.4774920703
264	0.7650170908	0.4773956553
265	0.7653735493	0.4773432089
266	0.7653975924	0.477282187
267	0.7655036923	0.477204869
268	0.7653768585	0.4770477283
269	0.7653942832	0.4769956129
270	0.7654009016	0.4769383137
271	0.7655550877	0.4768175003
272	0.7654622246	0.4766867701
273	0.7655409723	0.4766328191
274	0.7655857492	0.4765520297
275	0.7655617062	0.4763177912
276	0.7654282539	0.4762381521
277	0.7655376631	0.4761693004
278	0.7655343539	0.4760513304
279	0.7654622246	0.4759764382
280	0.7655650154	0.4758631014
281	0.7655094322	0.4757784329
282	0.7655542091	0.4757336486
283	0.7657324384	0.475651429
284	0.7656777338	0.4756356285
285	0.7656777338	0.4756319794
286	0.7658625814	0.475539328
287	0.7658625814	0.4755033566
288	0.7657697183	0.4754032935
289	0.7658069982	0.4752653331
290	0.765865012	0.4751695635
291	0.7657042075	0.4751272269
292	0.7657796459	0.4750706294
293	0.7658956735	0.4749906342
294	0.7659603058	0.4748078277
295	0.766032435	0.4747662555
296	0.7660564781	0.4747331822
297	0.7661111827	0.4745240199
298	0.7661526504	0.4744205105
299	0.7661252981	0.4744154092
300	0.7660125797	0.4743441276
301	0.7660946366	0.4743052517
302	0.7661941182	0.4742094943
303	0.7662007366	0.4739856021
304	0.7663068366	0.4739366344
305	0.7663516136	0.4738936851
306	0.7664336704	0.4738449939
307	0.7663988211	0.4737038813
308	0.7664021303	0.4736132502
309	0.7665115395	0.473537015
310	0.7664601441	0.473392463
311	0.7665662441	0.4733280297
312	0.7666176395	0.47326222
313	0.7666209487	0.4731543218
314	0.7667751348	0.4730807791
315	0.7668298394	0.4728784313
316	0.7668298394	0.472838034
317	0.7668190332	0.4727356306
318	0.7668812348	0.472702424
319	0.7668166026	0.4726117113
320	0.7669533641	0.4725224836
321	0.7668986595	0.4724512445
322	0.7669873348	0.4722761262
323	0.7669873348	0.472213267
324	0.7670660825	0.4721369169
325	0.7669599825	0.4720487837
326	0.7670288026	0.4719555333
327	0.7673056347	0.4718759384
328	0.767332987	0.4718106563
329	0.7673495331	0.4717368187
330	0.7673735762	0.4717222436
331	0.7672434331	0.4716553668
332	0.7674862946	0.4715907452
333	0.7675476176	0.4715108367
334	0.7675202653	0.4714755154
335	0.767492913	0.4714246825
336	0.7675716607	0.471391819
337	0.7676810699	0.4713226956
338	0.7676669544	0.471151985
339	0.7676943067	0.4711191102
340	0.767790479	0.471085972
341	0.7677423929	0.4710136218
342	0.7678451836	0.4709775513
343	0.7677970975	0.4709717681
344	0.7677970975	0.4709661575
345	0.7677117314	0.4709195174
346	0.7677598175	0.4708356955
347	0.7679281191	0.4707268893
348	0.768010176	0.4706577771
349	0.7679828237	0.4706089623
350	0.768010176	0.4705723414
351	0.768054953	0.4705253858
352	0.7681403191	0.4704847309
353	0.7682124483	0.4704407107
354	0.7682190668	0.4704143541
355	0.7682431099	0.4704044541
356	0.768291196	0.4703577631
357	0.7681950237	0.4702857458
358	0.7683185483	0.4702150335
359	0.7683459006	0.4701630908
360	0.7684760437	0.4701029201
361	0.7684826621	0.4700217646
362	0.7685821437	0.4699935034
363	0.7685962591	0.4699437988
364	0.7686302298	0.4698816468
365	0.7686028775	0.4698297178
366	0.7686683884	0.4697406961
367	0.7685689068	0.469709499
368	0.7685929499	0.4695393549
369	0.7686683884	0.4694867986
370	0.768572216	0.4694593082
371	0.7685415545	0.4693964389
372	0.768678316	0.4693267576
373	0.7686990499	0.4692641189
374	0.768723093	0.4691870898
375	0.7686716976	0.4691411145
376	0.7687471361	0.4691132683
377	0.7687678699	0.4690593864
378	0.7687678699	0.4690002342
379	0.7688192653	0.4689809171
380	0.7688225745	0.4689508847
381	0.7687985314	0.4689456836
382	0.768898013	0.4689251914
383	0.7689734515	0.4688874414
384	0.7689494084	0.4688820322
385	0.7688947038	0.4687976369
386	0.7689253653	0.4687517035
387	0.7689220561	0.4687081209
388	0.7689220561	0.4687024036
389	0.7690107314	0.4686335043
390	0.7690621268	0.4686020863
391	0.7691201406	0.4685401727
392	0.7693596928	0.4684242581
393	0.7694450589	0.4683348249
394	0.7694931451	0.4683027861
395	0.7695204974	0.4682555221
396	0.769575202	0.4682267966
397	0.7696199789	0.4681519052
398	0.7696407128	0.4679996955
399	0.7696473312	0.4679619455
400	0.7696166697	0.4679465109
401	0.7695204974	0.4679028106
402	0.7694624836	0.4678264377
403	0.7695238066	0.4677457994
404	0.7695271158	0.4676079225
405	0.7694964543	0.4675586511
406	0.7695030727	0.4675114945
407	0.7695238066	0.4674957833
408	0.7696058635	0.4674246242
409	0.7695959359	0.4673694285
410	0.7697293881	0.4672979248
411	0.7698147542	0.4672300732
412	0.7697600496	0.4671791033
413	0.769856222	0.4671266093
414	0.7699415881	0.4670828486
415	0.769962322	0.4670550584
416	0.7699349697	0.4670124863
417	0.770031142	0.4669801166
418	0.7700443789	0.4669469293
419	0.7700651127	0.4669049336
420	0.7702051834	0.4668584975
