iter	Passed	Remaining
0	99	258938
1	148	193217
2	186	161159
3	230	149657
4	281	146307
5	328	141848
6	368	136569
7	414	134266
8	446	128613
9	490	127151
10	525	123629
11	562	121333
12	607	120858
13	649	120049
14	689	118899
15	735	118752
16	779	118500
17	831	119255
18	877	119205
19	920	118719
20	955	117285
21	993	116466
22	1021	114481
23	1066	114505
24	1113	114645
25	1151	113996
26	1193	113782
27	1234	113399
28	1272	112817
29	1317	112851
30	1359	112681
31	1402	112538
32	1445	112475
33	1484	112045
34	1531	112229
35	1572	112011
36	1611	111629
37	1657	111773
38	1695	111365
39	1735	111087
40	1765	110202
41	1797	109490
42	1837	109267
43	1871	108723
44	1901	107955
45	1934	107432
46	1970	107043
47	2008	106775
48	2048	106670
49	2084	106286
50	2116	105775
51	2153	105535
52	2190	105286
53	2233	105314
54	2273	105212
55	2305	104747
56	2340	104435
57	2374	104078
58	2414	104005
59	2445	103541
60	2481	103290
61	2519	103149
62	2548	102645
63	2586	102486
64	2628	102512
65	2671	102575
66	2704	102240
67	2739	102012
68	2774	101784
69	2817	101815
70	2843	101281
71	2880	101124
72	2920	101094
73	2966	101250
74	3009	101332
75	3043	101062
76	3086	101121
77	3126	101075
78	3167	101092
79	3209	101089
80	3247	101000
81	3281	100762
82	3313	100489
83	3352	100427
84	3379	100004
85	3421	100023
86	3459	99929
87	3502	99978
88	3542	99941
89	3587	100046
90	3630	100111
91	3670	100070
92	3687	99416
93	3728	99399
94	3775	99542
95	3817	99564
96	3861	99632
97	3899	99552
98	3930	99302
99	3972	99317
100	4005	99114
101	4050	99206
102	4094	99271
103	4110	98663
104	4149	98606
105	4194	98691
106	4239	98781
107	4282	98815
108	4324	98839
109	4368	98884
110	4416	99025
111	4456	99006
112	4495	98930
113	4539	98998
114	4579	98955
115	4624	99028
116	4664	98989
117	4705	98969
118	4749	99029
119	4781	98825
120	4820	98770
121	4867	98870
122	4899	98659
123	4937	98598
124	4986	98735
125	5027	98719
126	5069	98712
127	5108	98662
128	5150	98667
129	5189	98596
130	5231	98600
131	5269	98529
132	5307	98439
133	5357	98587
134	5406	98711
135	5446	98670
136	5494	98783
137	5537	98788
138	5581	98817
139	5624	98829
140	5653	98587
141	5694	98567
142	5729	98438
143	5769	98403
144	5806	98312
145	5849	98327
146	5893	98343
147	5938	98387
148	5976	98317
149	6010	98175
150	6050	98132
151	6092	98117
152	6132	98078
153	6173	98047
154	6218	98096
155	6261	98095
156	6312	98220
157	6355	98230
158	6398	98237
159	6444	98272
160	6489	98313
161	6537	98378
162	6576	98321
163	6621	98351
164	6667	98391
165	6706	98333
166	6743	98243
167	6784	98217
168	6822	98137
169	6867	98171
170	6916	98247
171	6958	98227
172	6998	98174
173	7026	97968
174	7072	98002
175	7109	97911
176	7147	97838
177	7193	97876
178	7235	97862
179	7267	97711
180	7311	97710
181	7357	97749
182	7395	97680
183	7433	97610
184	7470	97518
185	7504	97395
186	7547	97392
187	7595	97443
188	7634	97385
189	7675	97355
190	7716	97321
191	7760	97335
192	7808	97387
193	7849	97350
194	7892	97340
195	7927	97234
196	7966	97179
197	8003	97092
198	8050	97131
199	8096	97157
200	8139	97143
201	8175	97055
202	8217	97028
203	8257	96990
204	8303	97004
205	8324	96746
206	8362	96676
207	8400	96610
208	8434	96497
209	8476	96473
210	8520	96470
211	8557	96390
212	8593	96305
213	8629	96211
214	8668	96159
215	8712	96162
216	8750	96097
217	8798	96138
218	8846	96179
219	8891	96192
220	8932	96158
221	8972	96110
222	9021	96162
223	9065	96155
224	9108	96146
225	9158	96203
226	9200	96182
227	9244	96172
228	9287	96164
229	9335	96195
230	9382	96218
231	9427	96223
232	9475	96254
233	9522	96279
234	9563	96250
235	9608	96243
236	9656	96279
237	9699	96257
238	9744	96264
239	9787	96243
240	9823	96160
241	9865	96127
242	9905	96076
243	9936	95942
244	9979	95924
245	10022	95909
246	10073	95961
247	10119	95976
248	10157	95903
249	10205	95927
250	10226	95702
251	10265	95647
252	10310	95647
253	10364	95726
254	10406	95700
255	10448	95667
256	10480	95552
257	10523	95530
258	10560	95450
259	10593	95344
260	10633	95290
261	10682	95323
262	10709	95163
263	10754	95164
264	10792	95095
265	10837	95091
266	10881	95080
267	10924	95060
268	10979	95140
269	11026	95156
270	11069	95136
271	11115	95136
272	11163	95153
273	11207	95144
274	11249	95105
275	11298	95137
276	11350	95190
277	11395	95184
278	11442	95191
279	11489	95195
280	11538	95227
281	11583	95215
282	11623	95160
283	11664	95126
284	11704	95070
285	11718	94812
286	11760	94783
287	11795	94694
288	11838	94663
289	11884	94663
290	11921	94594
291	11961	94546
292	12003	94509
293	12041	94451
294	12084	94424
295	12126	94390
296	12165	94333
297	12213	94345
298	12257	94326
299	12271	94078
300	12315	94062
301	12351	93987
302	12402	94018
303	12451	94042
304	12495	94020
305	12536	93984
306	12573	93910
307	12620	93913
308	12661	93873
309	12705	93853
310	12751	93850
311	12795	93831
312	12844	93851
313	12887	93824
314	12927	93772
315	12969	93741
316	13013	93723
317	13055	93685
318	13095	93636
319	13135	93587
320	13176	93550
321	13217	93507
322	13262	93492
323	13309	93494
324	13352	93466
325	13390	93401
326	13436	93398
327	13470	93311
328	13513	93276
329	13555	93246
330	13580	93093
331	13628	93103
332	13668	93050
333	13715	93053
334	13759	93031
335	13800	92985
336	13839	92934
337	13879	92883
338	13920	92846
339	13958	92783
340	14000	92747
341	14041	92703
342	14084	92675
343	14096	92446
344	14109	92221
345	14149	92176
346	14185	92101
347	14228	92077
348	14280	92106
349	14324	92088
350	14360	92013
351	14394	91926
352	14445	91949
353	14484	91899
354	14509	91755
355	14529	91586
356	14568	91531
357	14608	91486
358	14654	91477
359	14686	91383
360	14723	91319
361	14763	91274
362	14800	91211
363	14844	91189
364	14891	91186
365	14929	91127
366	14968	91075
367	15009	91038
368	15055	91023
369	15089	90945
370	15125	90876
371	15168	90847
372	15221	90880
373	15267	90871
374	15302	90792
375	15342	90748
376	15392	90760
377	15440	90766
378	15483	90737
379	15521	90678
380	15560	90627
381	15575	90435
382	15611	90369
383	15654	90339
384	15678	90200
385	15725	90200
386	15764	90149
387	15802	90091
388	15840	90035
389	15888	90034
390	15927	89986
391	15968	89944
392	16016	89942
393	16066	89957
394	16101	89883
395	16145	89862
396	16187	89824
397	16223	89760
398	16260	89697
399	16292	89610
400	16339	89600
401	16378	89553
402	16425	89544
403	16476	89562
404	16501	89432
405	16546	89415
406	16585	89365
407	16622	89307
408	16663	89264
409	16701	89211
410	16751	89220
411	16804	89242
412	16846	89209
413	16888	89175
414	16939	89186
415	16981	89154
416	17017	89086
417	17060	89059
418	17107	89049
419	17149	89011
420	17187	88958
421	17226	88908
422	17272	88894
423	17319	88886
424	17360	88846
425	17409	88846
426	17449	88800
427	17500	88811
428	17547	88800
429	17566	88649
430	17610	88626
431	17650	88580
432	17695	88558
433	17733	88506
434	17777	88480
435	17817	88433
436	17855	88379
437	17888	88297
438	17927	88249
439	17971	88223
440	18014	88194
441	18046	88111
442	18088	88075
443	18134	88059
444	18172	88002
445	18207	87934
446	18242	87864
447	18284	87830
448	18325	87793
449	18341	87631
450	18380	87581
451	18420	87536
452	18457	87481
453	18497	87433
454	18536	87388
455	18551	87226
456	18592	87184
457	18642	87187
458	18684	87153
459	18725	87112
460	18758	87037
461	18807	87037
462	18852	87016
463	18894	86981
464	18928	86907
465	18969	86867
466	19003	86796
467	19046	86766
468	19086	86724
469	19130	86697
470	19165	86629
471	19219	86648
472	19264	86630
473	19307	86599
474	19352	86576
475	19389	86520
476	19426	86461
477	19469	86429
478	19526	86464
479	19568	86425
480	19599	86343
481	19638	86294
482	19673	86230
483	19709	86168
484	19747	86117
485	19790	86084
486	19831	86044
487	19843	85881
488	19878	85816
489	19916	85764
490	19932	85614
491	19969	85562
492	20000	85477
493	20032	85403
494	20077	85379
495	20106	85291
496	20148	85257
497	20164	85110
498	20201	85058
499	20240	85010
500	20277	84954
501	20327	84954
502	20360	84883
503	20390	84800
504	20431	84760
505	20471	84717
506	20507	84658
507	20559	84665
508	20606	84654
509	20643	84596
510	20684	84559
511	20730	84541
512	20770	84499
513	20807	84443
514	20856	84438
515	20896	84394
516	20942	84379
517	20975	84308
518	21019	84280
519	21068	84275
520	21117	84266
521	21169	84270
522	21214	84248
523	21251	84196
524	21268	84060
525	21315	84044
526	21351	83987
527	21391	83947
528	21439	83934
529	21474	83872
530	21512	83823
531	21544	83747
532	21587	83719
533	21623	83659
534	21669	83641
535	21711	83606
536	21746	83545
537	21787	83504
538	21826	83460
539	21873	83443
540	21918	83421
541	21952	83355
542	21998	83335
543	22038	83293
544	22082	83264
545	22124	83228
546	22163	83184
547	22202	83137
548	22242	83095
549	22285	83062
550	22306	82952
551	22347	82912
552	22383	82853
553	22423	82814
554	22457	82750
555	22497	82707
556	22535	82655
557	22577	82623
558	22629	82623
559	22666	82571
560	22710	82542
561	22751	82504
562	22792	82465
563	22834	82431
564	22852	82310
565	22885	82240
566	22900	82112
567	22940	82069
568	22981	82029
569	23022	81992
570	23069	81975
571	23085	81847
572	23124	81803
573	23166	81768
574	23201	81710
575	23235	81645
576	23273	81599
577	23319	81576
578	23366	81561
579	23409	81530
580	23454	81505
581	23495	81466
582	23542	81449
583	23586	81421
584	23636	81415
585	23671	81356
586	23719	81339
587	23753	81278
588	23797	81250
589	23833	81195
590	23877	81168
591	23932	81176
592	23968	81120
593	24011	81088
594	24050	81044
595	24096	81021
596	24135	80977
597	24180	80953
598	24225	80927
599	24267	80893
600	24312	80867
601	24348	80810
602	24390	80775
603	24423	80712
604	24460	80658
605	24497	80608
606	24543	80583
607	24587	80555
608	24636	80545
609	24662	80454
610	24707	80429
611	24748	80392
612	24785	80339
613	24826	80301
614	24864	80252
615	24898	80193
616	24937	80147
617	24974	80095
618	25013	80050
619	25056	80018
620	25101	79993
621	25137	79940
622	25174	79886
623	25217	79855
624	25257	79813
625	25304	79793
626	25338	79732
627	25373	79675
628	25414	79636
629	25455	79598
630	25504	79584
631	25542	79538
632	25582	79496
633	25622	79453
634	25657	79396
635	25693	79341
636	25742	79327
637	25785	79295
638	25827	79259
639	25862	79203
640	25904	79169
641	25943	79122
642	25982	79078
643	26024	79044
644	26062	78995
645	26108	78971
646	26136	78895
647	26176	78851
648	26209	78791
649	26253	78760
650	26270	78650
651	26315	78624
652	26362	78602
653	26408	78579
654	26448	78538
655	26483	78482
656	26532	78466
657	26577	78441
658	26625	78422
659	26665	78380
660	26704	78334
661	26719	78219
662	26761	78185
663	26800	78141
664	26842	78105
665	26884	78070
666	26908	77981
667	26954	77957
668	26988	77898
669	27021	77838
670	27066	77810
671	27108	77776
672	27151	77743
673	27189	77695
674	27229	77654
675	27267	77607
676	27318	77596
677	27360	77561
678	27392	77498
679	27433	77459
680	27490	77464
681	27530	77424
682	27570	77384
683	27609	77337
684	27658	77323
685	27681	77234
686	27729	77215
687	27761	77149
688	27797	77097
689	27839	77062
690	27879	77022
691	27917	76973
692	27958	76935
693	28003	76909
